,Sl. No.,State/UT,2016,2017,2018,2019,2020,2021
0,1,Andhra Pradesh,1123.0,1054.0,935.0,870.0,853,956
1,2,Arunachal Pradesh,46.0,79.0,62.0,60.0,45,49
2,3,Assam,1149.0,1144.0,1241.0,1235.0,1131,1192
3,4,Bihar,2581.0,2803.0,2934.0,3138.0,3150,2799
4,5,Chhattisgarh,957.0,919.0,917.0,913.0,972,1007
5,6,Goa,30.0,31.0,29.0,33.0,34,26
6,7,Gujarat,1120.0,970.0,1072.0,993.0,982,1010
7,8,Haryana,1057.0,1046.0,1104.0,1137.0,1143,1112
8,9,Himachal Pradesh,101.0,99.0,99.0,70.0,91,86
9,10,Jharkhand,1514.0,1487.0,1712.0,1626.0,1592,1573
10,11,Karnataka,1573.0,1384.0,1334.0,1314.0,1331,1357
11,12,Kerala,305.0,305.0,292.0,323.0,306,337
12,13,Madhya Pradesh,2004.0,1908.0,1879.0,1795.0,2101,2034
13,14,Maharashtra,2299.0,2103.0,2199.0,2142.0,2163,2330
14,15,Manipur,78.0,63.0,52.0,56.0,46,46
15,16,Meghalaya,108.0,87.0,95.0,68.0,79,80
16,17,Mizoram,29.0,21.0,27.0,22.0,28,24
17,18,Nagaland,36.0,36.0,31.0,25.0,25,27
18,19,Odisha,1328.0,1267.0,1378.0,1356.0,1470,1394
19,20,Punjab,771.0,659.0,684.0,679.0,757,723
20,21,Rajasthan,1551.0,1473.0,1508.0,1659.0,1719,1786
21,22,Sikkim,17.0,13.0,12.0,17.0,11,14
22,23,Tamil Nadu,1603.0,1560.0,1569.0,1745.0,1661,1686
23,24,Telangana,1046.0,805.0,786.0,839.0,802,1026
24,25,Tripura,145.0,124.0,137.0,144.0,114,122
25,26,Uttar Pradesh,4889.0,4324.0,4018.0,3806.0,3779,3717
26,27,Uttarakhand,194.0,181.0,211.0,199.0,160,208
27,28,West Bengal,2044.0,2001.0,1933.0,1930.0,1948,1884
28,Total State(S),Total State(S),29698.0,27946.0,28250.0,28194.0,28493,28605
29,29,Andaman and Nicobar Islands,14.0,9.0,11.0,13.0,5,16
30,30,Chandigarh,26.0,25.0,20.0,26.0,22,17
31,31,Dadra and Nagar Haveli and Daman and Diu,9.0,9.0,12.0,13.0,13,14
32,32,Delhi,528.0,487.0,513.0,521.0,472,459
33,33,Jammu and Kashmir,142.0,152.0,181.0,119.0,149,136
34,34,Ladakh,,,,,0,5
35,35,Lakshadweep,0.0,0.0,1.0,0.0,0,1
36,36,Puducherry,33.0,25.0,29.0,29.0,39,19
37,Total UT(S),Total UT(S),752.0,707.0,767.0,721.0,700,667
