Sl. No.,State/UT,2016,2017,2018,2019,2020
1,Andhra Pradesh,1123,1054,935,870,853
2,Arunachal Pradesh,46,79,62,60,45
3,Assam,1149,1144,1241,1235,1131
4,Bihar,2581,2803,2934,3138,3150
5,Chhattisgarh,957,919,917,913,972
6,Goa,30,31,29,33,34
7,Gujarat,1120,970,1072,993,982
8,Haryana,1057,1046,1104,1137,1143
9,Himachal Pradesh,101,99,99,70,91
10,Jharkhand,1514,1487,1712,1626,1592
11,Karnataka,1573,1384,1334,1314,1331
12,Kerala,305,305,292,323,306
13,Madhya Pradesh,2004,1908,1879,1795,2101
14,Maharashtra,2299,2103,2199,2142,2163
15,Manipur,78,63,52,56,46
16,Meghalaya,108,87,95,68,79
17,Mizoram,29,21,27,22,28
18,Nagaland,36,36,31,25,25
19,Odisha,1328,1267,1378,1356,1470
20,Punjab,771,659,684,679,757
21,Rajasthan,1551,1473,1508,1659,1719
22,Sikkim,17,13,12,17,11
23,Tamil Nadu,1603,1560,1569,1745,1661
24,Telangana,1046,805,786,839,802
25,Tripura,145,124,137,144,114
26,Uttar Pradesh,4889,4324,4018,3806,3779
27,Uttarakhand,194,181,211,199,160
28,West Bengal,2044,2001,1933,1930,1948
Total State(S),Total State(S),29698,27946,28250,28194,28493
29,Andaman and Nicobar Islands,14,9,11,13,5
30,Chandigarh,26,25,20,26,22
31,Dadra and Nagar Haveli and Daman and Diu,9,9,12,13,13
32,Delhi,528,487,513,521,472
33,Jammu and Kashmir,142,152,181,119,149
34,Ladakh,NA,NA,NA,NA,0
35,Lakshadweep,0,0,1,0,0
36,Puducherry,33,25,29,29,39
Total UT(S),Total UT(S),752,707,767,721,700
Total (All India),Total (All India),30450,28653,29017,28915,29193
